code,rank,name,kor_name,up,down,common_rank,efficiency_rank,discription,link
CDLHARAMI_Bull,38,Bullish Harami,상승 잉태형 패턴,53,47,c,d-,"특징:
- 첫 번째 캔들은 긴 하락 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들의 몸통 내에서 완전히 포함되는 작은 상승 캔들로 첫 번째 캔들의 하락 범위 내에서 시작하고 종료됩니다.
발생 이유:
- 하락 추세 중에 매도세가 소진되기 시작하고, 매수세가 점차 힘을 얻기 시작했음을 나타냅니다.
예상 주가 동향:
- 강세 반전의 신호로 해석되며, 시장은 상승 추세로 반전할 가능성이 있습니다.",
CDLHARAMI_Bear,72,Bearlish Harami,하락잉태형 ,53,47,c,h+,"특징:
- 첫 번째 캔들은 긴 상승 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들의 몸통 내에서 완전히 포함되는 작은 하락 캔들로 첫 번째 캔들의 상승 범위 내에서 시작하고 종료됩니다.
발생 이유:
- 상승 추세 중에 매수세가 소진되기 시작하고, 매도세가 점차 힘을 얻기 시작했음을 나타냅니다.
예상 주가 동향:
- 약세 반전의 신호로 해석되며, 시장은 하락 추세로 반전할 가능성이 있습니다.",
CDLLADDERBOTTOM_Bull,41,Ladder Bottom,사다리 바닥 패턴,56,44,h-,e+,"특징:
- 첫 번째부터 세 번째 캔들은 연속된 긴 하락 캔들로 구성됩니다. 네 번째 캔들은 작은 몸통을 가진 캔들이며, 때때로 하락 캔들로 나타날 수 있습니다. 다섯 번째 캔들은 긴 상승 캔들로 나타납니다.
발생 이유:
- 시장의 하락 추세가 끝나가고, 상승 추세로의 반전이 임박했음을 나타냅니다.
예상 주가 동향:
- 강세 반전의 신호로 해석되며, 상승 추세를 시작할 가능성이 있습니다.",
CDLLADDERBOTTOM_Bear,41,Ladder Bottom,사다리 바닥 패턴,56,44,h-,e+,,
CDLCLOSINGMARUBOZU_Bull,70,Bullish Closing Marubozu,종가 벽돌형 캔들,60,40,c,a,"특징:
- 매우 긴 몸통을 갖는 상승 캔들로 구성되며, 아래쪽 꼬리가 없고 위쪽 꼬리는 매우 짧거나 거의 없는 캔들로 나타납니다.
발생 이유:
- 거래 기간동안 매수 압력이 지속적으로 유지되었으며, 거래를 마감할 때 거의 최고점에 도달했음을 의미합니다.
예상 주가 동향:
- 강세 신호로 해석되며, 시장에서 추가적인 상승이 예상됩니다.",
CDLCLOSINGMARUBOZU_Bear,43,Bearish Closing Marubozu,종가 벽돌형 캔들,35,65,c,a,"특징:
- 매우 긴 몸통을 갖는 하락 캔들로 구성되며, 위쪽 꼬리가 없고 아래쪽 꼬리는 매우 짧거나 거의 없는 캔들로 나타납니다.
발생 이유:
- 거래 기간동안 매도 압력이 지속적으로 유지되었으며, 거래를 마감할 때 거의 최고점에 도달했음을 의미합니다.
예상 주가 동향:
- 강세 신호의 반대로 해석되며, 시장에서 추가적인 하락이 예상됩니다.",
CDLTAKURI_Bul,47,Takuri Line,호리병 캔들,66,34,c-,e,"특징:
- 아주 작은 몸통을 가지며, 아주 긴 아래쪽 꼬리와 아주 짧거나 겂는 위쪽 꼬리로 구성됩니다.
발생 이유:
- 매도세가 가격을 크게 끌어내렸지만, 매수세가 다시 회복하여 가격을 거의 시가 또는 종가 근처까지 끌어올린 상황을 나타냅니다.
예상 주가 동향:
- 시장에서 가격 반전 또는 상승 추세로의 전환 가능성이 있습니다.",
CDLTAKURI_Bear,47,Takuri Line,호리병 캔들,66,34,c-,e,"특징:
- 아주 작은 몸통을 가지며, 아주 긴 아래쪽 꼬리와 아주 짧거나 겂는 위쪽 꼬리로 구성됩니다.
발생 이유:
- 매도세가 가격을 크게 끌어내렸지만, 매수세가 다시 회복하여 가격을 거의 시가 또는 종가 근처까지 끌어올린 상황을 나타냅니다.
예상 주가 동향:
- 시장에서 가격 반전 또는 상승 추세로의 전환 가능성이 있습니다.",
CDLDOJISTAR_Bull,49,Bullish Doji Star,상승형 십자캔들 별 패턴 ,36,64,f+,e-,"특징:
- 첫 번째 캔들은 긴 몸통을 갖는 하락 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들과 하락 갭을 갖는 도지 캔들로 나타납니다.
발생 이유:
- 하락 추세 중 시장의 불확실성이 증가하고 매도세와 매수세가 균형을 이루기 시작했음을 나타냅니다.
예상 주가 동향:
- 추가적인 상승 캔들이나 기타 강세 신호의 출현으로 상승 추세로의 반전이 확인될 수 있습니다.",
CDLDOJISTAR_Bear,51,Bearish Doji Star,하락형 십자캔들 별 패턴,69,31,e+,f+,"특징:
- 첫 번째 캔들은 긴 몸통을 갖는 상승 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들과 상승 갭을 갖는 도지 캔들로 나타납니다.
발생 이유:
- 상승 추세 중 시장의 불확실성이 증가하고 매도세와 매수세가 균형을 이루기 시작했음을 나타냅니다.
예상 주가 동향:
- 추가적인 하락 내들이나 기타 약세 신호의 출현으로 하락 추세로의 반전이 확인될 수 있습니다.",
CDLHARAMICROSS_Bull,50,Bullish Harami Cross,하라미 크로스,53,47,c,d-,"특징:
- 첫 번째 캔들은 긴 몸통을 갖는 하락 캔들로 구성됩니다. 두 번째 캔들은 시가와 종가가 거의 동일한 도지 캔들로 첫 번째 캔들의 몸통 내부에 포함되도록 나타납니다.
발생 이유:
- 하락 추세 중에 매도세가 소진되기 시작하고, 매수세가 점차 힘을 얻기 시작했음을 나타냅니다.
예상 주가 동향:
- 강세 반전의 신호로 해석되며, 시장은 상승 추세로 반전할 가능성이 있습니다.",
CDLHARAMICROSS_Bear,80,Bearish Harami Cross,하라미 크로스,53,47,c,h+,"특징:
- 첫 번째 캔들은 긴 몸통을 갖는 상승 캔들로 구성됩니다. 두 번째 캔들은 시가와 종가가 거의 동일한 도지 캔들로 첫 번째 캔들의 몸통 내부에 포함되도록 나타납니다.
발생 이유:
- 상승 추세 중에 매수세가 소진되기 시작하고, 매도세가 점차 힘을 얻기 시작했음을 나타냅니다.
예상 주가 동향
- 약세 반전의 신호로 해석되며, 시장은 하락 추세로 반전할 가능성이 있습니다.",
CDLADVANCEBLOCK_Bull,54,Advance Block Pattern,상승블록형,64,36,g,f,"특징:
- 첫 번째 캔들은 긴 몸통을 갖는 상승 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들보다 상승 폭이 작은 캔들로 위쪽에 더 긴 꼬리를 갖습니다. 세 번째 캔들은 두 번째 캔들보다 상승 폭이 작은 캔들로 위쪽에 더 긴 꼬리를 가지며 거꾸로 된 망치 모양으로 나타납니다.
발생 이유:
- 상승 추세중에 매수세가 점점 약해지고 있음을 나타냅니다.
예상 주가 동향:
- 상승 추세의 지속 가능성에 대한 의문을 제기하며, 시장은 추세의 약화 또는 반전할 가능성이 있습니다.",
CDLADVANCEBLOCK_Bear,54,Advance Block Pattern,상승블록형,64,36,g,f,,
CDLSHOOTINGSTAR_Bull,55,Shooting Star Candlestick,유성형 캔들,41,59,d,f,"특징:
- 위 쪽에 긴 꼬리와 아래 쪽에는 거의 없거나 매우 짧은 작은 몸통을 갖는 하락 캔들로 구성됩니다.
발생 이유:
- 상승 추세 중에 나타난 매도 압력의 증가와 시장의 불확실성을 시사하며, 추세의 가능한 반전을 암시합니다.
예상 주가 동향:
- 약세 반전의 신호로 해석되며, 추가적인 약세 신호의 출현으로 하락 추세로의 반전이 확인될 수 있습니다.",
CDLSHOOTINGSTAR_Bear,55,Shooting Star Candlestick,유성형 캔들,41,59,d,f,,
CDLMARUBOZU_Bull,71,Bullish Marubozu,벽돌형 캔들,70,30,e,a,"특징:
- 매우 긴 상승 몸통을 가지며, 위쪽과 아래쪽 꼬리는 없거나 매우 짧게 구성됩니다.
발생 이유:
- 거래 기간 동안 강한 매수세가 지속되었으며, 매도 압력이 거의 없었음을 나타냅니다.
예상 주가 동향:
- 강세 신호로 해석되며, 상승 추세의 시작이나 지속을 암시할 수 있습니다.",
CDLMARUBOZU_Bear,57,Bearish Marubozu,벽돌형 캔들,30,70,e,a,"특징:
- 매우 긴 하락 몸통을 가지며, 위쪽과 아래쪽 꼬리는 없거나 매우 짧게 구성됩니다.
발생 이유:
- 거래 기간 동안 강한 매도세가 지속되었으며, 매수 압력이 거의 없었음을 나타냅니다.
예상 주가 동향:
- 약세 신호로 해석되며, 하락 추세의 시작이나 지속을 암시할 수 있습니다.",
CDLUNIQUE3RIVER_Bull,60,Unique Three-River bottom,희귀 삼천 바닥형,60,40,e-, b  ,"특징:
- 첫 번째 캔들은 긴 몸통을 가진 하락 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들보다 낮은 가격에서 시작하는 작은 몸통의 캔들로 첫 번째 캔들의 아래쪽 꼬리에 위치할 수 있습니다. 세 번째 캔들은 두 번째 캔들의 몸통을 완전히 덮는 작은 상승 캔들로 시가 근처에서 시작하여 두 번째 캔들의 저점 아래로 하락하지 않고 상승하여 마감합니다.
발생 이유:
- 하락 추세에서 매도세가 약해지고, 매수세가 점차 강해지기 시작했음을 나타냅니다.
예상 주가 동향:
- 강세 신호로 해석되며, 시장에서는 상승 추세로의 반전을 예상할 수 있습니다.",
CDLUNIQUE3RIVER_Bear,60,Unique Three-River bottom,희귀 삼천 바닥형,60,40,e-, b  ,,
CDL2CROWS_Bull,61,Two Crows,까마귀형,46,54,g,g+,"특징:
- 첫 번째 캔들은 긴 상승 캔들로 구성도비니다. 두 번째 캔들은 첫 번째 캔들보다 상단에서 시작하는 갭 업 후, 첫 번째 캔들의 상단 부근에서 마감하는 하락 캔들 입니다. 세 번째 캔들은 두 번째 캔들의 개시 가격 근처에서 시작하여, 첫 번째 캔들의 몸통 내부에서 마감하는 하락 캔들입니다.
발생 이유:
- 상승 추세 중에 나타나며, 매수세의 감소와 함께 매도세의 증가를 나타내는 약세 반전 신호입니다.
예상 주가 동향:
- 추가적인 하락 신호로 해석될 수 있습니다.",
CDL2CROWS_Bear,61,Two Crows,까마귀형,46,54,g,g+,,
CDLBELTHOLD_Bull,62,Bullish Belt Hold Line ,상승샅바형 캔들,71,29,c+,g+,"특징:
- 긴 몸통을 갖는 상승 캔들로 몸통 위쪽 짧은 꼬리가 존재합니다.
발생 이유:
- 하락 추세 또는 강한 하락세 후 매수세가 갑자기 강력하게 유입되어 가격을 크게 상승시키고, 상승 추세로의 전환을 암시할 수 있음을 나타냅니다.
예상 주가 동향:
- 강세 신호로 해석되며, 시장에서는 상승 추세로의 반전이나 상승세의 지속을 예상할 수 있습니다.",
CDLBELTHOLD_Bear,63,Bearish Belt Hold Line ,하락샅바형 캔들,32,68,b-,g+,"특징:
- 긴 몸통을 갖는 하락 캔들로 몸통 아래쪽 짧은 꼬리가 존재합니다.
발생 이유:
- 상승 추세 또는 강한 상승세 후 매도세가 갑자기 강력하게 유입되어 가격을 크게 하락시키고, 하락 추세로의 전환을 암시할 수 있음을 나타냅니다.
예상 주가 동향:
- 약세 신호로 해석되며, 시장에서는 하락 추세로의 반전이나 하락세의 지속을 예상할 수 있습니다.",
CDLHAMMER_Bull,65,Hammer Candlestick ,망치형 캔들,60,40,d,g,"특징:
- 긴 아래쪽 꼬리와 매우 짧거나 없는 위쪽 꼬리를 갖는 작은 몸통 캔들로 구성됩니다.
발생 이유:
- 매도세가 가격을 크게 끌어내렸지만, 매수세가 다시 회복하여 거의 최초 개장 가격 근처에서 마감했음을 나타냅니다.
예상 주가 동향:
- 시장에서는 가격 반전 또는 상승 추세로의 전환 가능성이 있습니다.",
CDLHAMMER_Bear,65,Hammer Candlestick ,망치형 캔들,60,40,d,g,"특징:
- 긴 아래쪽 꼬리와 매우 짧거나 없는 위쪽 꼬리를 갖는 작은 몸통 캔들로 구성됩니다.
발생 이유:
- 매도세가 가격을 크게 끌어내렸지만, 매수세가 다시 회복하여 거의 최초 개장 가격 근처에서 마감했음을 나타냅니다.
예상 주가 동향:
- 시장에서는 가격 반전 또는 상승 추세로의 전환 가능성이 있습니다.",
CDLHIGHWAVE_Bull,67,High Wave,하이웨이브,49,51,b,g,"특징:
- 긴 위쪽 꼬리와 아래쪽 꼬리를 갖는 작은 몸통 캔들로 구성됩니다.
발생 이유:
- 시장에서 큰 불확실서이나 매수와 매도 세력 간의 경쟁이 있음을 나타냅니다.
예상 주가 동향:
- 명확한 추세를 예측하지 않습니다. 대신, 시장 참가자들에게 추가적인 분석과 경계를 요구합니다.",
CDLHIGHWAVE_Bear,67,High Wave,하이웨이브,49,51,b,g,"특징:
- 긴 위쪽 꼬리와 아래쪽 꼬리를 갖는 작은 몸통 캔들로 구성됩니다.
발생 이유:
- 시장에서 큰 불확실서이나 매수와 매도 세력 간의 경쟁이 있음을 나타냅니다.
예상 주가 동향:
- 명확한 추세를 예측하지 않습니다. 대신, 시장 참가자들에게 추가적인 분석과 경계를 요구합니다.",
CDLSPINNINGTOP_Bull,69,Bullish Spinning Top,팽이형 캔들,50,50,a+,h+,"특징:
- 몸통이 짧고 위쪽 아래쪽에 긴 꼬리가 있는 상승 캔들로 구성됩니다.
발생 이유:
- 매수세와 매도세가 균형을 이루고 있지만, 어느 한쪽도 시장을 지배하지 못하는 상태입니다.
예상 주가 동향:
- 시초가보다 높게 마감되기 때문에 가격 상승으로 이어질 가능성이 있습니다.",
CDLSPINNINGTOP_Bear,73,Bearish Spinning Top,팽이형 캔들,50,50,a+,h+,"특징:
- 몸통이 짧고 위쪽 아래쪽에 긴 꼬리가 있는 하락 캔들로 구성됩니다.
발생 이유:
- 매수세와 매도세가 균형을 이루고 있지만, 어느 한쪽도 시장을 지배하지 못하는 상태입니다.
예상 주가 동향:
- 시초가보다 아래로 마감되기 때문에 가격 하락으로 이어질 가능성이 있습니다.",
CDLUPSIDEGAP2CROWS_Bull,74,Upside Gap Two Crows,하락반전 까마귀형,60,60,h,h,"특징:
- 첫 번째 캔들은 긴 몸통의 상승 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들보다 상단에서 시작하는 갭 업 후 종가는 첫 번째 캔들의 상단 부근에 위치하는 하락 캔들입니다. 세 번째 캔들은 두 번째 캔들을 완전히 감싸는 하락 캔들로 나타납니다.
발생 이유:
- 상승 추세에서 매도 압력이 증가하고 있음을 나타내는 약세 반전 신호입니다.
예상 주가 동향:
- 상승 추세에서의 가능한 하락 반전을 경고하는 신호로 해석될 수 있습니다.",
CDLUPSIDEGAP2CROWS_Bear,74,Upside Gap Two Crows,하락반전 까마귀형,60,60,h,h,"특징:
- 첫 번째 캔들은 긴 몸통의 상승 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들보다 상단에서 시작하는 갭 업 후 종가는 첫 번째 캔들의 상단 부근에 위치하는 하락 캔들입니다. 세 번째 캔들은 두 번째 캔들을 완전히 감싸는 하락 캔들로 나타납니다.
발생 이유:
- 상승 추세에서 매도 압력이 증가하고 있음을 나타내는 약세 반전 신호입니다.
예상 주가 동향:
- 상승 추세에서의 가능한 하락 반전을 경고하는 신호로 해석될 수 있습니다.",
CDLGRAVESTONEDOJI_Bull,77,Gravestone Doji,비석형 캔들,49,51,e+,h,"특징:
- 몸통이 거의 또는 전혀없으며, 긴 위쪽 꼬리로 구성됩니다.
발생 이유:
- 매수세가 가격을 크게 상승시키려 시도했지만, 결국 실패하고 가격이 개시 가격 근처로 돌아왔음을 나타냅니다.
예상 주가 동향:
- 약세 반전의 신호로 해석되며, 시장에서는 하락 추세로의 전환을 예상할 수 있습니다.",
CDLGRAVESTONEDOJI_Bear,77,Gravestone Doji,비석형 캔들,49,51,e+,h,"특징:
- 몸통이 거의 또는 전혀없으며, 긴 위쪽 꼬리로 구성됩니다.
발생 이유:
- 매수세가 가격을 크게 상승시키려 시도했지만, 결국 실패하고 가격이 개시 가격 근처로 돌아왔음을 나타냅니다.
예상 주가 동향:
- 약세 반전의 신호로 해석되며, 시장에서는 하락 추세로의 전환을 예상할 수 있습니다.",
CDLHIKKAKEMOD_Bull,82,Bullish modified Hikkake,수정형 히카케,55,45,d,d,"특징:
- 첫 번째 캔들은 긴 몸통의 상승 캔들로 구성 됩니다. 두 번째 캔들은 이전 저점 위에서 마감하고 저점을 낮춥니다. 세 번째 캔들은 긴 몸통을 갖는 상승 캔들로 구성되며 새로운 고점을 형성합니다.
발생 이유:
- 시장 참여자들 사이에 불확실성이나 테스트 후, 매수 세력이 우위를 점하고 상승세를 이끌 가능성이 있음을 나타냅니다.
예상 주가 동향:
- 강세 지속 또는 상승 추세로의 전환을 예상할 수 있습니다.",
CDLHIKKAKEMOD_Bear,81,Bearish modified Hikkake,수정형 히카케,45,55,d,d,"특징:
- 첫 번째 캔들은 긴 몸통의 하락 캔들로 구성됩니다. 두 번째 캔들은 이전 저점 위에서 종가가 형성되고 고점이 낮아집니다. 세 번째 캔들은 긴 몸통을 갖는 하락 캔들로 구성되며, 새로운 저점을 형성합니다.
발생 이유:
- 시장 참여자들 사이에 불확실성이나 테스트 후, 매도 세력이 우위를 점하고 하락세를 이끌 가능성이 있음을 나타냅니다.
예상 주가 동향:
- 약세 지속 또는 하락 추세로의 전환을 예상할 수 있습니다.",
CDLHIKKAKE_Bull,85,Bullish Hikkake,히카케,60,40,d,d,"특징:
- 최소 3개의 캔들로 표시되며, 첫 번째 캔들은 긴 몸통의 하락 캔들로 구성됩니다. 두 번째 캔들은 이전 캔들에 완전히 포함되어 있습니다. 세 번째 캔들은 첫 번째 캔들의 고점을 약간 돌파합니다.
발생 이유:
- 시장에서 매수 세력이 점차 우위를 점하고 있음을 나타냅니다.
예상 주가 동향:
- 강세 지속 또는 상승 추세로의 전환을 예상할 수 있습니다.",
CDLHIKKAKE_Bear,83,Bearish Hikkake,히카케,40,60,d,d,"특징:
- 최소 3개의 캔들로 표시되며, 첫 번째 캔들은 긴 몸통의 상승 캔들로 구성됩니다. 두 번째 캔들은 이전 캔들에 완전히 포함되어 있습니다. 세 번째 캔들은 첫 번째 캔들의 저점을 약간 돌파합니다.
발생 이유:
- 시장에서 매도 세력이 점차 우위를 점하고 있음을 나타냅니다.
예상 주가 동향:
- 약세 지속 또는 하락 추세로의 전환을 예상할 수 있습니다.",
CDLENGULFING_Bull,84,Bullish Engulfing,상승장악형 패턴,63,37,b+,i,"특징:
- 첫 번째 캔들은 하락 추세 내에서 나타나는 작은 몸통의 하락 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들을 완전히 포함하는 큰 몸통의 상승 캔들입니다.
발생 이유:
- 하락 추세 중 매도 압력이 소진되고, 강력한 매수세가 시장을 지배하기 시작했음을 나타냅니다.
예상 주가 동향:
- 강세 신호로 해석되며, 상승 추세로의 전환을 예상할 수 있습니다.",
CDLENGULFING_Bear,91,Bearish Engulfing,하락장악형 패턴,21,79,b+,j+,"특징:
- 첫 번째 캔들은 상승 추세 내에서 나타나는 작은 몸통의 상승 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들을 완전히 포함하는 큰 몸통의 하락 캔들입니다.
발생 이유:
- 상승 추세 중 매수 압력이 소진되고, 강력한 매도세가 시장을 지배하기 시작했음을 나타냅니다.
예상 주가 동향:
- 약세 신호로 해석되며, 하락 추세로의 전환을 예상할 수 있습니다.",
CDLMATHOLD_Bull,86,Bullish Mat Hold Pattern,상승 매트형 패턴,78,22,j+,i,"특징:
- 첫 번째 캔들은 긴 몸통의 상승 캔들로 구성됩니다. 그 뒤로 작은 몸통의 하락 캔들 세개가 이어집니다. 다섯 번째 캔들은 긴 상승 캔들이며 첫 번째 캔들의 최고가를 넘어가 고점을 형성합니다.
발생 이유:
- 상승 추세 중에 발생하는 소규모 가격 조정 후 시장의 강세가 계속됨을 시사합니다.
예상 주가 동향:
- 상승 추세의 지속을 예상할 수 있습니다.",
CDLMATHOLD_Bear,86,Bearish Mat Hold Pattern,하락 매트형 패턴,78,22,j+,i,"특징:
- 첫 번째 캔들은 긴 몸통의 하락 캔들로 구성됩니다. 그 뒤로 작은 몸통의 상승 캔들 세개가 이어집니다. 다섯 번째 캔들은 긴 하락 캔들이며 첫 번째 캔들의 최저가를  넘어가 저점을 형성합니다.
발생 이유:
- 하락 추세 중에 발생하는 소규모 가격 조정 후 시장의 약세가 계속됨을 시사합니다.
예상 주가 동향:
- 하락 추세의 지속을 예상할 수 있습니다.",
CDLHANGINGMAN_Bull,87,Hanging Man Candlestick ,교수형 캔들,59,41,b,i,"특징:
- 작은 몸통을 가지며, 주로 캔들의 상단에 위치합니다. 또한, 긴 아래쪽 꼬리를 가지고 있으며 위쪽 꼬리는 없거나 매우 짧습니다.
발생 이유:
- 상승 추세에서 나타나는 것은 매수세가 약해지고 있으며, 시장 참여자들 사이에 불확실성이나 하락에 대한 우려가 증가하고 있음을 나타냅니다.
예상 주가 동향:
- 추가적인 하락 신호나 약세 패턴의 출현을 주의 깊게 모니터링할 필요가 있습니다.",
CDLHANGINGMAN_Bear,87,Hanging Man Candlestick ,교수형 캔들,59,41,b,i,,
CDLRISEFALL3METHODS_Bull,94,Rising Three Methods,상승 삼법형,74,26,i-,j,"특징:
- 상승 추세에서 첫 번째 캔들은 긴 몸통의 상승 캔들로 구성됩니다. 그 뒤로 작은 몸통의 하락 캔들 세 개가 이어집니다. 다섯 번째 캔들은 긴 몸통을 가진 상승 캔들로 이전 세 개의 캔들을 덮고 최고가를 넘어가 고점을 형성합니다.
발생 이유:
- 상승 추세 중 소규모의 가격 조정을 나타냅니다.
예상 주가 동향:
- 강세 신호로 해석되며, 상승 추세의 지속을 예상할 수 있습니다.",
CDLRISEFALL3METHODS_Bear,89,Falling Three Methods,하락 삼법형,29,71,j+,i-,"특징:
- 하락 추세에서 첫 번째 캔들은 긴 몸통의 하락 캔들로 구성됩니다. 그 뒤로 작은 몸통의 상승 캔들 세 개가 이어집니다. 다섯 번째 캔들은 긴 몸통을 가진 하락 캔들로 이전 세 개의 캔들을 덮고 최저가를 넘어가 저점을 형성합니다.
발생 이유:
- 하락 추세 중 소규모의 가격 조정을 나타냅니다.
예상 주가 동향:
- 약세 신호로 해석되며, 하락 추세의 지속을 예상할 수 있습니다.",
CDLKICKING_Bull,96,Bullish Kicking,상승박차형 패턴,53,47,j-,j,"특징:
- 첫 번째 캔들은 긴 몸통의 하락 캔들로 구성됩니다. 두 번째 캔들은 갭 업으로 시작하는 긴 몸통의 상승 캔들입니다.
발생 이유:
- 첫 번째 하락 캔들 이후의 급격한 갭 업과 강한 상승 캔들은 매수 세력의 급격한 우위와 시장의 방향 전환을 시사합니다.
예상 주가 동향:
- 강세 지속 또는 상승 추세로의 전환을 예상할 수 있습니다.",
CDLKICKING_Bear,102,Bearish Kicking,하락박차형 패턴,46,54,j-,j-,"특징:
- 첫 번째 캔들은 긴 몸통의 상승 캔들로 구성됩니다. 두 번째 캔들은 갭 다운으로 시작하는 긴 몸통의 하락 캔들입니다.
발생 이유:
- 첫 번째 상승 캔들 이후의 급격한 갭 다운과 강한 하락 캔들은 매도 세력의 급격한 우위와 시장의 방향 전환을 시사합니다.
예상 주가 동향:
- 약세 지속 또는 하락 추세로의 전환을 예상할 수 있습니다.",
CDLDRAGONFLYDOJI_Bull,98,Dragonfly Doji,잠자리형 캔들,50,50,e,j-,"특징:
- 위쪽 꼬리는 존재하지 않고, 아래쪽 긴 꼬리를 갖고 있는 매우 작은 몸통으로 구성됩니다.
발생 이유:
- 매도 압력이 매수 압력으로 전환되는 과정을 나타낼 수 있습니다.
예상 주가 동향:
- 하락 추세 또는 가격 하락 후에 나타난 경우, 잠재적인 상승 추세로의 반전을 시사할 수 있습니다. 반대로, 상승 추세에서 나타난 경우 주의 깊게 관찰해야 합니다.",
CDLDRAGONFLYDOJI_Bear,98,Dragonfly Doji,잠자리형 캔들,50,50,e,j-,"특징:
- 위쪽 꼬리는 존재하지 않고, 아래쪽 긴 꼬리를 갖고 있는 매우 작은 몸통으로 구성됩니다.
발생 이유:
- 매도 압력이 매수 압력으로 전환되는 과정을 나타낼 수 있습니다.
예상 주가 동향:
- 하락 추세 또는 가격 하락 후에 나타난 경우, 잠재적인 상승 추세로의 반전을 시사할 수 있습니다. 반대로, 상승 추세에서 나타난 경우 주의 깊게 관찰해야 합니다.",
CDLCONCEALBABYSWALL_Bull,101,Concealing Baby Swallow,애기제비감추기형,25,75,j-,j-,"특징:
- 첫 번째 캔들은 긴 몸통의 하락 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들보다 낮은 시가에서 시작하는 긴 몸통의 하락 캔들입니다. 세 번째 캔들은 갭 하락하여 시작하고, 위꼬리는 직전 캔들의 종가보다 위까지 올라가는 하락 캔들입니다. 네 번째 캔들은 세 번째 캔들을 완전히 포함하는 긴 몸통의 하락 캔들입니다.
발생 이유:
- 하락 추세 중 매도세가 지속되고 있음에도 불구하고, 시장 내에서 매수세가 점차 힘을 얻고 있음을 나타냅니다.
예상 주가 동향:
- 하락 추세의 약화와 잠재적인 상승 반전을 예상할 수 있습니다.",
CDLCONCEALBABYSWALL_Bear,101,Concealing Baby Swallow,애기제비감추기형,25,75,j-,j-,"특징:
- 첫 번째 캔들은 긴 몸통의 하락 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들보다 낮은 시가에서 시작하는 긴 몸통의 하락 캔들입니다. 세 번째 캔들은 갭 하락하여 시작하고, 위꼬리는 직전 캔들의 종가보다 위까지 올라가는 하락 캔들입니다. 네 번째 캔들은 세 번째 캔들을 완전히 포함하는 긴 몸통의 하락 캔들입니다.
발생 이유:
- 하락 추세 중 매도세가 지속되고 있음에도 불구하고, 시장 내에서 매수세가 점차 힘을 얻고 있음을 나타냅니다.
예상 주가 동향:
- 하락 추세의 약화와 잠재적인 상승 반전을 예상할 수 있습니다.",
CDL3STARSINSOUTH_Bull,103,Three Stars In The North,바닥 삼성형,86,14,j-,j-,"특징:
- 첫 번째 캔들은 긴 아래꼬리와 긴 몸통을 갖는 하락 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들보다 짧고 저가가 첫 번째 캔들의 저가보다 위에 형성됩니다. 세 번째 캔들은 위, 아래 꼬리가 없는 짧은 하락 캔들로 첫 번째 캔들과 두 번째 캔들의 저가~고가 사이에 형성됩니다.
발생 이유:
- 하락 추세가 둔화되고 잠재적인 반전의 신호를 나타냅니다.
예상 주가 동향:
- 하락 추세의 종료와 상승 추세로의 반전을 예상할 수 있습니다.",
CDL3STARSINSOUTH_Bear,103,Three Stars In The North,바닥 삼성형,86,14,j-,j-,"특징:
- 첫 번째 캔들은 긴 아래꼬리와 긴 몸통을 갖는 하락 캔들로 구성됩니다. 두 번째 캔들은 첫 번째 캔들보다 짧고 저가가 첫 번째 캔들의 저가보다 위에 형성됩니다. 세 번째 캔들은 위, 아래 꼬리가 없는 짧은 하락 캔들로 첫 번째 캔들과 두 번째 캔들의 저가~고가 사이에 형성됩니다.
발생 이유:
- 하락 추세가 둔화되고 잠재적인 반전의 신호를 나타냅니다.
예상 주가 동향:
- 하락 추세의 종료와 상승 추세로의 반전을 예상할 수 있습니다.",
CDLDOJI_Bull,104,Doji Lines,십자형 캔들 ,50,50,d,d,"특징:
- 시가와 종가가 같아 몸통이 없습니다. 위쪽과 아래쪽에 긴 꼬리를 가질 수 있으며, 꼬리가 없는 경우 일자형 캔들로 불립니다.
발생 이유:
- 시장 참가자들 사이의 불확실성과 결정적인 순간을 반영합니다.
예상 주가 동향:
- 명확한 트렌드 방향을 제시하지 않습니다. 대신, 이후 나타나는 캔들의 형태와 위치를 통해 추가적인 시장 분석을 수행해야 합니다.",
